date,open,high,low,close,volume,timeframe,instrument_type
2025-11-24 15:15:00+05:30,26359.1,26360.1,26325.0,26326.0,24310,15m,FUTURES
2025-11-25 09:15:00+05:30,26368.2,26368.2,26305.2,26307.0,26715,15m,FUTURES
2025-11-25 09:30:00+05:30,26307.0,26339.1,26306.4,26320.0,34775,15m,FUTURES
2025-11-25 09:45:00+05:30,26320.0,26349.9,26305.0,26349.9,12935,15m,FUTURES
2025-11-25 10:00:00+05:30,26349.9,26374.0,26345.1,26370.0,15340,15m,FUTURES
2025-11-25 10:15:00+05:30,26370.0,26380.0,26362.9,26363.0,12805,15m,FUTURES
2025-11-25 10:30:00+05:30,26363.0,26373.0,26350.0,26354.0,9555,15m,FUTURES
2025-11-25 10:45:00+05:30,26354.0,26356.0,26305.0,26305.0,24960,15m,FUTURES
2025-11-25 11:00:00+05:30,26305.0,26305.3,26290.0,26301.0,17420,15m,FUTURES
2025-11-25 11:15:00+05:30,26301.0,26316.9,26291.9,26316.9,6435,15m,FUTURES
2025-11-25 11:30:00+05:30,26316.9,26327.9,26302.0,26302.0,8580,15m,FUTURES
2025-11-25 11:45:00+05:30,26302.0,26351.9,26302.0,26351.9,5460,15m,FUTURES
2025-11-25 12:00:00+05:30,26351.9,26353.8,26331.3,26331.4,4095,15m,FUTURES
2025-11-25 12:15:00+05:30,26331.4,26345.1,26305.9,26305.9,5785,15m,FUTURES
2025-11-25 12:30:00+05:30,26305.9,26334.9,26305.9,26334.9,845,15m,FUTURES
2025-11-25 12:45:00+05:30,26334.9,26345.0,26320.4,26331.6,8580,15m,FUTURES
2025-11-25 13:00:00+05:30,26331.6,26350.0,26317.0,26340.7,16315,15m,FUTURES
2025-11-25 13:15:00+05:30,26340.7,26355.8,26323.6,26344.5,13260,15m,FUTURES
2025-11-25 13:30:00+05:30,26344.5,26354.8,26336.7,26340.0,2925,15m,FUTURES
2025-11-25 13:45:00+05:30,26340.0,26349.5,26330.7,26340.0,4550,15m,FUTURES
2025-11-25 14:00:00+05:30,26340.0,26359.8,26335.0,26358.5,7345,15m,FUTURES
2025-11-25 14:15:00+05:30,26358.5,26358.5,26301.5,26305.0,15535,15m,FUTURES
2025-11-25 14:30:00+05:30,26305.0,26312.7,26282.0,26298.7,24245,15m,FUTURES
2025-11-25 14:45:00+05:30,26290.2,26298.3,26236.2,26238.0,38220,15m,FUTURES
2025-11-25 15:00:00+05:30,26238.0,26249.2,26221.1,26237.5,43680,15m,FUTURES
2025-11-25 15:15:00+05:30,26237.5,26245.0,26225.0,26237.2,60320,15m,FUTURES
2025-11-26 09:15:00+05:30,26220.1,26340.0,26220.1,26335.0,32500,15m,FUTURES
2025-11-26 09:30:00+05:30,26335.0,26383.9,26333.5,26383.9,24765,15m,FUTURES
2025-11-26 09:45:00+05:30,26383.9,26444.0,26383.9,26437.8,51480,15m,FUTURES
2025-11-26 10:00:00+05:30,26437.8,26449.9,26426.6,26443.0,29835,15m,FUTURES
2025-11-26 10:15:00+05:30,26443.0,26445.0,26416.0,26420.0,8190,15m,FUTURES
2025-11-26 10:30:00+05:30,26420.0,26445.0,26416.8,26444.0,9490,15m,FUTURES
2025-11-26 10:45:00+05:30,26444.0,26478.0,26444.0,26450.0,27495,15m,FUTURES
2025-11-26 11:00:00+05:30,26450.0,26466.9,26450.0,26461.5,8840,15m,FUTURES
2025-11-26 11:15:00+05:30,26461.5,26475.0,26461.0,26468.8,7670,15m,FUTURES
2025-11-26 11:30:00+05:30,26468.8,26468.8,26453.5,26453.5,4290,15m,FUTURES
2025-11-26 11:45:00+05:30,26453.5,26477.0,26445.1,26475.0,5525,15m,FUTURES
2025-11-26 12:00:00+05:30,26475.0,26492.0,26469.8,26487.2,15730,15m,FUTURES
2025-11-26 12:15:00+05:30,26487.2,26494.0,26475.5,26485.1,6955,15m,FUTURES
2025-11-26 12:30:00+05:30,26485.1,26494.0,26474.9,26494.0,7605,15m,FUTURES
2025-11-26 12:45:00+05:30,26494.0,26494.0,26478.2,26487.0,6955,15m,FUTURES
2025-11-26 13:00:00+05:30,26487.0,26520.0,26487.0,26505.0,15340,15m,FUTURES
2025-11-26 13:15:00+05:30,26505.0,26515.0,26481.9,26484.1,11310,15m,FUTURES
2025-11-26 13:30:00+05:30,26484.1,26505.0,26481.0,26502.0,3315,15m,FUTURES
2025-11-26 13:45:00+05:30,26502.0,26515.0,26489.9,26506.8,7215,15m,FUTURES
2025-11-26 14:00:00+05:30,26506.8,26525.0,26506.4,26512.5,10205,15m,FUTURES
2025-11-26 14:15:00+05:30,26512.5,26523.0,26507.9,26510.0,6890,15m,FUTURES
2025-11-26 14:30:00+05:30,26510.0,26515.0,26500.0,26500.0,6240,15m,FUTURES
2025-11-26 14:45:00+05:30,26500.0,26508.3,26490.0,26504.0,5395,15m,FUTURES
2025-11-26 15:00:00+05:30,26504.0,26527.0,26503.0,26525.5,11245,15m,FUTURES
2025-11-26 15:15:00+05:30,26525.5,26545.7,26520.0,26540.0,20150,15m,FUTURES
2025-11-27 09:15:00+05:30,26500.1,26619.9,26500.1,26609.0,50310,15m,FUTURES
2025-11-27 09:30:00+05:30,26609.0,26609.2,26560.0,26575.0,18850,15m,FUTURES
2025-11-27 09:45:00+05:30,26575.0,26610.0,26553.0,26610.0,14040,15m,FUTURES
2025-11-27 10:00:00+05:30,26610.0,26625.0,26590.6,26601.3,17745,15m,FUTURES
2025-11-27 10:15:00+05:30,26601.3,26615.0,26595.0,26609.5,9165,15m,FUTURES
2025-11-27 10:30:00+05:30,26609.5,26615.0,26600.1,26615.0,4745,15m,FUTURES
2025-11-27 10:45:00+05:30,26615.0,26634.6,26605.7,26610.0,15275,15m,FUTURES
2025-11-27 11:00:00+05:30,26610.0,26627.5,26607.5,26619.0,6825,15m,FUTURES
2025-11-27 11:15:00+05:30,26619.0,26619.7,26591.6,26602.3,6955,15m,FUTURES
2025-11-27 11:30:00+05:30,26602.3,26602.3,26580.0,26597.0,5460,15m,FUTURES
2025-11-27 11:45:00+05:30,26597.0,26597.0,26555.1,26572.0,14625,15m,FUTURES
2025-11-27 12:00:00+05:30,26572.0,26587.2,26555.2,26556.2,4615,15m,FUTURES
2025-11-27 12:15:00+05:30,26556.2,26567.5,26536.3,26544.1,9685,15m,FUTURES
2025-11-27 12:30:00+05:30,26544.1,26581.0,26542.7,26581.0,8190,15m,FUTURES
2025-11-27 12:45:00+05:30,26581.0,26583.7,26565.5,26570.0,5135,15m,FUTURES
2025-11-27 13:00:00+05:30,26570.0,26570.0,26500.6,26500.6,15925,15m,FUTURES
2025-11-27 13:15:00+05:30,26500.6,26518.0,26480.0,26492.3,24440,15m,FUTURES
2025-11-27 13:30:00+05:30,26490.5,26510.3,26476.0,26489.4,16575,15m,FUTURES
2025-11-27 13:45:00+05:30,26489.4,26523.2,26483.8,26520.0,11635,15m,FUTURES
2025-11-27 14:00:00+05:30,26522.0,26530.0,26500.0,26519.9,10075,15m,FUTURES
2025-11-27 14:15:00+05:30,26519.9,26551.5,26504.5,26546.2,7475,15m,FUTURES
2025-11-27 14:30:00+05:30,26546.2,26546.9,26521.0,26541.0,5655,15m,FUTURES
2025-11-27 14:45:00+05:30,26538.7,26538.7,26501.5,26518.0,6240,15m,FUTURES
2025-11-27 15:00:00+05:30,26518.0,26549.0,26518.0,26540.0,4420,15m,FUTURES
2025-11-27 15:15:00+05:30,26540.0,26558.0,26537.0,26545.0,15860,15m,FUTURES
2025-11-28 09:15:00+05:30,26548.7,26578.4,26526.0,26565.1,12870,15m,FUTURES
2025-11-28 09:30:00+05:30,26565.1,26588.0,26545.3,26565.2,18915,15m,FUTURES
2025-11-28 09:45:00+05:30,26565.2,26587.8,26555.0,26587.0,10790,15m,FUTURES
2025-11-28 10:00:00+05:30,26587.0,26599.8,26576.0,26578.6,10855,15m,FUTURES
2025-11-28 10:15:00+05:30,26578.6,26580.0,26560.0,26567.2,4810,15m,FUTURES
2025-11-28 10:30:00+05:30,26567.2,26598.1,26567.2,26595.0,5460,15m,FUTURES
2025-11-28 10:45:00+05:30,26595.0,26605.0,26580.0,26581.1,8970,15m,FUTURES
2025-11-28 11:00:00+05:30,26581.1,26598.0,26578.0,26592.5,5070,15m,FUTURES
2025-11-28 11:15:00+05:30,26592.5,26598.0,26563.6,26567.0,4420,15m,FUTURES
2025-11-28 11:30:00+05:30,26567.0,26577.0,26564.1,26574.4,3185,15m,FUTURES
2025-11-28 11:45:00+05:30,26574.4,26580.0,26567.4,26574.0,2990,15m,FUTURES
2025-11-28 12:00:00+05:30,26574.0,26574.0,26560.0,26567.0,2860,15m,FUTURES
2025-11-28 12:15:00+05:30,26567.0,26568.7,26551.0,26555.1,4290,15m,FUTURES
2025-11-28 12:30:00+05:30,26555.1,26574.6,26555.0,26562.2,3120,15m,FUTURES
2025-11-28 12:45:00+05:30,26562.2,26562.3,26535.3,26560.0,6110,15m,FUTURES
2025-11-28 13:00:00+05:30,26560.0,26560.0,26542.4,26550.0,1430,15m,FUTURES
2025-11-28 13:15:00+05:30,26550.0,26563.3,26540.2,26550.9,2015,15m,FUTURES
2025-11-28 13:30:00+05:30,26550.9,26570.5,26545.0,26550.9,2145,15m,FUTURES
2025-11-28 13:45:00+05:30,26550.9,26550.9,26526.0,26545.0,10010,15m,FUTURES
2025-11-28 14:00:00+05:30,26545.0,26552.4,26536.2,26538.6,2470,15m,FUTURES
2025-11-28 14:15:00+05:30,26538.6,26544.5,26530.0,26544.5,1885,15m,FUTURES
2025-11-28 14:30:00+05:30,26544.5,26557.4,26540.1,26540.1,2340,15m,FUTURES
2025-11-28 14:45:00+05:30,26540.1,26550.0,26536.0,26546.0,1755,15m,FUTURES
2025-11-28 15:00:00+05:30,26546.0,26553.7,26537.1,26537.1,5330,15m,FUTURES
2025-11-28 15:15:00+05:30,26537.1,26565.1,26537.1,26565.1,10595,15m,FUTURES
2025-12-01 09:15:00+05:30,26639.9,26649.9,26603.1,26615.0,36725,15m,FUTURES
2025-12-01 09:30:00+05:30,26615.0,26628.7,26607.0,26607.1,12675,15m,FUTURES
2025-12-01 09:45:00+05:30,26607.1,26616.9,26590.0,26594.1,10660,15m,FUTURES
2025-12-01 10:00:00+05:30,26594.1,26607.3,26590.1,26600.0,7995,15m,FUTURES
2025-12-01 10:15:00+05:30,26600.0,26605.1,26594.0,26600.0,5785,15m,FUTURES
2025-12-01 10:30:00+05:30,26600.0,26610.0,26580.3,26583.1,8840,15m,FUTURES
2025-12-01 10:45:00+05:30,26583.1,26583.1,26560.0,26566.0,17030,15m,FUTURES
2025-12-01 11:00:00+05:30,26566.0,26580.7,26560.0,26576.0,6565,15m,FUTURES
2025-12-01 11:15:00+05:30,26576.0,26588.0,26572.9,26583.9,5265,15m,FUTURES
2025-12-01 11:30:00+05:30,26583.9,26589.0,26535.0,26536.2,12935,15m,FUTURES
2025-12-01 11:45:00+05:30,26536.2,26544.8,26505.0,26540.0,25545,15m,FUTURES
2025-12-01 12:00:00+05:30,26540.0,26541.4,26500.0,26509.6,12870,15m,FUTURES
